accession,strain,file,organism
GCF_000760075.1,MIT_9322,genomes/MIT_9322_GCF_000760075.1.faa,Prochlorococcus marinus str. MIT 9322
GCF_000760095.1,MIT_9401,genomes/MIT_9401_GCF_000760095.1.faa,Prochlorococcus marinus str. MIT 9401
GCF_000015665.1,MIT_9515,genomes/MIT_9515_GCF_000015665.1.faa,Prochlorococcus marinus str. MIT 9515
GCF_019325055.1,MU1402,genomes/MU1402_GCF_019325055.1.faa,Prochlorococcus marinus str. MU1402
GCF_019325065.1,MU1403,genomes/MU1403_GCF_019325065.1.faa,Prochlorococcus marinus str. MU1403
GCF_019325015.1,MU1404,genomes/MU1404_GCF_019325015.1.faa,Prochlorococcus marinus str. MU1404
GCF_019325005.1,MU1405,genomes/MU1405_GCF_019325005.1.faa,Prochlorococcus marinus str. MU1405
GCF_019324945.1,MU1406,genomes/MU1406_GCF_019324945.1.faa,Prochlorococcus marinus str. MU1406
GCF_019324955.1,MU1410,genomes/MU1410_GCF_019324955.1.faa,Prochlorococcus marinus str. MU1410
GCF_019324985.1,MU1411,genomes/MU1411_GCF_019324985.1.faa,Prochlorococcus marinus str. MU1411
GCF_019324925.1,MU1412,genomes/MU1412_GCF_019324925.1.faa,Prochlorococcus marinus str. MU1412
GCF_019324905.1,MU1414,genomes/MU1414_GCF_019324905.1.faa,Prochlorococcus marinus str. MU1414
GCF_019324885.1,MU1415,genomes/MU1415_GCF_019324885.1.faa,Prochlorococcus marinus str. MU1415
GCF_019324835.1,MU1416,genomes/MU1416_GCF_019324835.1.faa,Prochlorococcus marinus str. MU1416
GCF_019324845.1,MU1417,genomes/MU1417_GCF_019324845.1.faa,Prochlorococcus marinus str. MU1417
GCF_000015685.1,NATL1A,genomes/NATL1A_GCF_000015685.1.faa,Prochlorococcus marinus str. NATL1A
GCF_000012465.1,NATL2A,genomes/NATL2A_GCF_000012465.1.faa,Prochlorococcus marinus str. NATL2A
GCF_000760235.1,PAC1,genomes/PAC1_GCF_000760235.1.faa,Prochlorococcus marinus str. PAC1
GCF_047304675.1,PAC1,genomes/PAC1_GCF_047304675.1.faa,Prochlorococcus marinus str. PAC1
GCF_000760115.1,SB,genomes/SB_GCF_000760115.1.faa,Prochlorococcus marinus str. SB
GCF_047305225.1,SB,genomes/SB_GCF_047305225.1.faa,Prochlorococcus marinus str. SB
GCF_000760255.1,SS2,genomes/SS2_GCF_000760255.1.faa,Prochlorococcus marinus str. SS2
GCF_047302765.1,SS2,genomes/SS2_GCF_047302765.1.faa,Prochlorococcus marinus str. SS2
GCF_000760275.1,SS35,genomes/SS35_GCF_000760275.1.faa,Prochlorococcus marinus str. SS35
GCF_047304605.1,SS35,genomes/SS35_GCF_047304605.1.faa,Prochlorococcus marinus str. SS35
GCF_000760355.1,SS51,genomes/SS51_GCF_000760355.1.faa,Prochlorococcus marinus str. SS51
GCF_047302855.1,SS51,genomes/SS51_GCF_047302855.1.faa,Prochlorococcus marinus str. SS51
GCF_002812945.1,XMU1401,genomes/XMU1401_GCF_002812945.1.faa,Prochlorococcus marinus str. XMU1401
GCF_017696245.1,XMU1401,genomes/XMU1401_GCF_017696245.1.faa,Prochlorococcus marinus str. XMU1401
GCF_019325115.1,XMU1401E,genomes/XMU1401E_GCF_019325115.1.faa,Prochlorococcus marinus str. XMU1401E
GCF_019325045.1,XMU1408,genomes/XMU1408_GCF_019325045.1.faa,Prochlorococcus marinus str. XMU1408
GCF_019325105.1,XMU1419,genomes/XMU1419_GCF_019325105.1.faa,Prochlorococcus marinus str. XMU1419
GCF_000007925.1,CCMP1375;_SS120,genomes/CCMP1375;_SS120_GCF_000007925.1.faa,Prochlorococcus marinus subsp. marinus str. CCMP1375
GCF_000011465.1,MED4,genomes/MED4_GCF_000011465.1.faa,Prochlorococcus marinus subsp. pastoris str. CCMP1986
GCF_047497115.1,MED4x_substr._MED4x,genomes/MED4x_substr._MED4x_GCF_047497115.1.faa,Prochlorococcus marinus subsp. pastoris str. CCMP1986
GCF_047497125.1,MED4ax_substr._MED4ax,genomes/MED4ax_substr._MED4ax_GCF_047497125.1.faa,Prochlorococcus marinus subsp. pastoris str. CCMP1986
GCF_017696205.1,XMU1402,genomes/XMU1402_GCF_017696205.1.faa,Prochlorococcus marinus XMU1402
GCF_003208065.1,XMU1403,genomes/XMU1403_GCF_003208065.1.faa,Prochlorococcus marinus XMU1403
GCF_017696175.1,XMU1404,genomes/XMU1404_GCF_017696175.1.faa,Prochlorococcus marinus XMU1404
GCF_017696275.1,XMU1405,genomes/XMU1405_GCF_017696275.1.faa,Prochlorococcus marinus XMU1405
GCF_017696055.1,XMU1406,genomes/XMU1406_GCF_017696055.1.faa,Prochlorococcus marinus XMU1406
GCF_003208055.1,XMU1408,genomes/XMU1408_GCF_003208055.1.faa,Prochlorococcus marinus XMU1408
GCF_017696085.1,XMU1410,genomes/XMU1410_GCF_017696085.1.faa,Prochlorococcus marinus XMU1410
GCF_017696075.1,XMU1411,genomes/XMU1411_GCF_017696075.1.faa,Prochlorococcus marinus XMU1411
GCF_017696315.1,XMU1412,genomes/XMU1412_GCF_017696315.1.faa,Prochlorococcus marinus XMU1412
GCF_017696035.1,XMU1414,genomes/XMU1414_GCF_017696035.1.faa,Prochlorococcus marinus XMU1414
GCF_017695955.1,XMU1419,genomes/XMU1419_GCF_017695955.1.faa,Prochlorococcus marinus XMU1419
GCF_051658205.1,Unknown,genomes/Unknown_GCF_051658205.1.faa,Synechococcus elongatus
